ISO3,Country,Continent,Hemisphere,Human Development Groups,HDI Rank (2021),Life Expectancy at Birth (1990),Life Expectancy at Birth (2021)
TZA,Tanzania,Africa,Southern Hemisphere,Low,160,51.4849,66.2007
UGA,Uganda,Africa,Northern Hemisphere,Low,166,46.4426,62.7048
UKR,Ukraine,Europe,Northern Hemisphere,High,77,69.8024,71.624
URY,Uruguay,America,Southern Hemisphere,Very High,58,73.1617,75.4356
USA,United States,America,Northern Hemisphere,Very High,21,75.3699,77.1982
UZB,Uzbekistan,Asia,Northern Hemisphere,High,101,65.3456,70.8616
VCT,Saint Vincent and the Grenadines,America,Northern Hemisphere,High,89,72.3797,69.6291
VEN,Venezuela,America,Northern Hemisphere,Medium,120,71.5319,70.5536
VNM,Viet Nam,Asia,Northern Hemisphere,High,115,69.2127,73.6181
VUT,Vanuatu,Oceania,Southern Hemisphere,Medium,140,66.6747,70.449
WSM,Samoa,Oceania,Southern Hemisphere,High,111,67.6584,72.7675
YEM,Yemen,Asia,Northern Hemisphere,Low,183,58.6994,63.7534
ZAF,South Africa,Africa,Southern Hemisphere,High,109,63.3753,62.341
ZMB,Zambia,Africa,Southern Hemisphere,Medium,154,47.9263,61.2234
ZWE,Zimbabwe,Africa,Southern Hemisphere,Medium,146,59.4264,59.2531
